name,price,type,Number_door,kilometrage,first_hand,Secteur,marque,Etat,year_model,origin
Opel astra Diesel,137000.0,"Voitures d occasion, à vendre",5.0,75 000 - 79 999,Oui,Maarif,Opel,Très bon,2014,WW au Maroc
New accent Diesel très bonne état,145000.0,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Non,Autre secteur,Hyundai,Excellent,2020,WW au Maroc
fiat Doblo maxi 1.6,164429.89045383412,"Voitures d occasion, à vendre",5.0,70 000 - 74 999,Oui,Route de Sefrou,Fiat,Excellent,2019,WW au Maroc
JEEP GRAND CHEROKEE OVERLAND,215000.0,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Nan,Al Maghrib Al Arabi,Jeep,Excellent,2016,WW au Maroc
AUDI A3 AUTOMATIQUE,129000.0,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Nan,Autre secteur,Audi,Excellent,2012,WW au Maroc
Tiguan diesel dédouanée.,350000.0,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Oui,Al Maghrib Al Arabi,Volkswagen,Excellent,2017,Dédouanée
FORD FOCUS DIESEL,155000.0,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Nan,Al Maghrib Al Arabi,Ford,Excellent,2016,WW au Maroc
CADDY ÉDITION 35,179000.0,"Voitures d occasion, à vendre",5.0,95 000 - 99 999,Nan,Al Maghrib Al Arabi,Volkswagen,Excellent,2018,WW au Maroc
Ferrari 488 Essence 2017,164429.89045383412,"Voitures d occasion, à vendre",3.0,50 000 - 54 999,Oui,Quartier des Hôpitaux,Ferrari,Excellent,2017,Importée neuve
FORD FOCUS GHIA DIESEL,82000.0,"Voitures d occasion, à vendre",5.0,160 000 - 169 999,Nan,Autre secteur,Ford,Excellent,2008,WW au Maroc
Volvo xc70 Diesel 2010,80000.0,"Voitures d occasion, à vendre",5.0,350 000 - 399 999,Non,Wifak,Volvo,Très bon,2010,WW au Maroc
Renault Kadjar,164429.89045383412,"Voitures d occasion, à vendre",5.0,75 000 - 79 999,Non,Nan,Renault,Très bon,2016,WW au Maroc
Honda jazz automatique,164429.89045383412,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Non,Nan,Honda,Très bon,2007,WW au Maroc
Mercedes-Benz C300,87000.0,"Voitures d occasion, à vendre",5.0,160 000 - 169 999,Nan,Hay Riad,Mercedes-Benz,Très bon,2007,Nan
Mercedes Benz VP C 220 D Avantgarde,570000.0,"Voitures d occasion, à vendre",5.0,5 000 - 9 999,Nan,Bourgogne,Mercedes-Benz,Excellent,2022,Nan
BMW Série 3 320 Diesel,164429.89045383412,"Voitures d occasion, à vendre",5.0,140 000 - 149 999,Oui,Branes 2,BMW,Excellent,2010,WW au Maroc
Renault Clio,164429.89045383412,"Voitures d occasion, à vendre",5.0,90 000 - 94 999,Non,Branes 2,Renault,Excellent,2017,WW au Maroc
BM X3 xDrive,164429.89045383412,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Oui,Branes 2,BMW,Très bon,2015,WW au Maroc
Hyundai,78000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Nan,Hyundai,Excellent,2007,WW au Maroc
